WHSE_CODE,ITEM_NUMBER,PRODUCTION_PLANT,QC_GRADE,SPEC,Sum of AGE,LOT_NO,SUBLOT_NO,Sum of Inventory Pallets,ALLOCATED_ORDER_NUM,Allocation Date
ID002,310015,ID002,101,3123A-3132A-9999A-9999E,8,1052512305,300996856,1,"",
ID002,310015,ID002,101,3123A-3132A-9999A-9999E,8,1052512305,300996894,1,"",
ID002,310015,ID002,101,3123A-3132A-9999A-9999E,8,1052512305,300996895,1,"",
ID002,310015,ID002,101,3123A-3132A-9999A-9999E,8,1052512305,300996896,1,"",
ID002,310015,ID002,101,3123A-3132A-9999A-9999E,8,1052512305,300996906,1,"",
ID002,310015,ID002,101,3132A,9,1052512205,300995627,1,"",
ID002,310015,ID002,101,3132A,9,1052512205,300995628,1,"",
ID002,310015,ID002,101,3132A,9,1052512205,300995629,1,"",
ID002,310015,ID002,101,3132A,9,1052512205,300995630,1,"",
ID002,310015,ID002,101,3132A,9,1052512205,300995631,1,"",
ID002,310015,ID002,101,3132A,9,1052512205,300995632,1,"",
ID002,310015,ID002,101,3132A,9,1052512205,300995635,1,"",
ID002,310015,ID002,101,3132A,9,1052512205,300995636,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,55,1052507633,300932459,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,50,1052508138,300939577,0,"",
ID002,310086,ID002,101,3139A-3140A-9999A,32,1052509947,300964094,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,32,1052509947,300964095,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,32,1052509947,300964150,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,19,1052511231,300982128,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,19,1052511231,300982130,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,19,1052511231,300982334,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,19,1052511231,300982335,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,19,1052511231,300982336,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,19,1052511231,300982338,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,19,1052511231,300982340,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,19,1052511231,300982341,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,19,1052511232,300982406,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,19,1052511232,300982407,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,19,1052511232,300982408,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,19,1052511232,300982409,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,19,1052511235,300982602,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,19,1052511235,300982603,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,19,1052511235,300982604,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,19,1052511235,300982605,1,"",
ID002,310086,ID002,101,3139A-3140A-9999A,19,1052511235,300982606,1,"",
